vczsmcode	VcZSMDesc	VcASMDesc	VcASMCode	VcTSICode	VcTSIDesc	VcWSSTTYCode	VcWSSTTYDesc	VcRSMCode	VcRSMDesc	VcBMCode	VcBMDesc
ZS00103	FV-ZSM-SOUTH ZONE(B)	BANGALORE1	CM00400	TM55500	PKTK-A-3	TM55500	PKTK-A-3	RPMKTK1	RPI - KARNATAKA	RPMKTK1	RPI - KARNATAKA
ZC00105	FV-ZSM-CENTRAL ZONE	NAGPUR	CY00500	TY06350	JVD	TY06350	JVD	RPMMUM2	RPM - MUMBAI2	RPMMUM2	RPM - MUMBAI2
ZN00102	FV-ZSM-NORTH-A ZONE	UTTRAKHAND	CD01100	TD07060	JKUT	TD07060	JKUT	RPMDEL1	RPM - DELHI	RPMDEL1	RPM - DELHI
ZN00102	FV-ZSM-NORTH-A ZONE	EASTERNUP	CD00400	TD61200	JUP	TD61200	JUP	RPMDEL1	RPM - DELHI	RPMDEL1	RPM - DELHI
ZC00105	FV-ZSM-CENTRAL ZONE	MADHYAPRADESH	CY00400	TY06330	JMP	TY06330	JMP	RPMDEL1	RPM - DELHI	RPIMPC1	RPI - MP+CHTSG
ZN00102	FV-ZSM-NORTH-A ZONE	UTTRAKHAND	CD01100	TD05480	UT-06	TD54804	W-SHAHJAHANPUR-1	ZN00102	FV-ZSM-NORTH-A ZONE	BWE0001	WESTERN U.P
ZS00102	FV-ZSM-SOUTH ZONE(A)	CHENNAI	CM00100	TM05510	CN-3	TM50602	W-TIRUVALLUR-1	ZS00102	FV-ZSM-SOUTH ZONE(A)	BMA0001	CHENNAI
ZW00102	FV-ZSM-WEST-B ZONE	JAIPUR	CA00300	TA03050	JAIPUR-6	TA30501	W-JHALARAPATAN CITY.-1	ZW00102	FV-ZSM-WEST-B ZONE	BAR0001	AHMEDABAD-RAJASTHAN
ZN00102	FV-ZSM-NORTH-A ZONE	DELHIB	CD00600	TD05250	DEL-B-2	TD52501	W-SAFDARJUNG-1	ZN00102	FV-ZSM-NORTH-A ZONE	BDE0001	DELHI
ZW00101	FV-ZSM-WEST-A ZONE	MUMBAI -1	CY00100	TY06290	PMWA-1	TY06290	PMWA-1	RPMMUM1	RPI - MUMBAI	RPMMUM1	RPI - MUMBAI
ZN00101	FV-ZSM-NORTH ZONE	J&K	CD00700	TD05080	JK-01	TD50806	W-RAJOURI-1	ZN00101	FV-ZSM-NORTH ZONE	BCH0001	CHANDIGARH
ZW00102	FV-ZSM-WEST-B ZONE	JODHPUR	CA00500	TA03130	JJDH	TA03130	JJDH	RPIRAJ1	RPI - RAJASTHAN	RPIRAJ1	RPI - RAJASTHAN
ZW00101	FV-ZSM-WEST-A ZONE	THANE	CY01000	TY11060	TH-4	TY11064	W-MURBAD-1	ZW00101	FV-ZSM-WEST-A ZONE	BTH0001	THANE
ZW00101	FV-ZSM-WEST-A ZONE	MUMBAIWEST	CY00300	TY11120	MW-6	TY31603	W-PALGHAR-2	ZW00101	FV-ZSM-WEST-A ZONE	BMU0001	MUMBAI - A
ZW00102	FV-ZSM-WEST-B ZONE	AHMEDABAD	CA00200	PWTGJ01	PABD-1	PA10001	FW-AHMADABAD	ZW00102	FV-ZSM-WEST-B ZONE	BAA0001	AHMEDABAD-ABD
ZN00101	FV-ZSM-NORTH ZONE	CHANDIGARH	CD01300	TD07030	CH-04	TD57812	W-BILASPUR-1	ZN00101	FV-ZSM-NORTH ZONE	BCH0001	CHANDIGARH
ZS00102	FV-ZSM-SOUTH ZONE(A)	KERALA	CM01000	TM06040	KER-4	TM60401	W-ALLEPPEY-1	ZS00102	FV-ZSM-SOUTH ZONE(A)	BKE0001	KERALA
